id,product_id,image_url,rank
a23d8f51-74e1-8d36-bae6-a46ff05cb339,3b1239b0-94f3-61e9-c8b4-cf5dd24a259d,"https://images.skechers.com/image;width=400,format=auto/150936_WNV_HERO_LG",0
6198cee3-2b4a-0dc8-3caa-9b70679e4453,15749771-76ac-78e0-53c6-5a31d904801f,"https://images.skechers.com/image;width=400,format=auto/150483_BLSH_HERO_LG",0
7f3ebe43-25bf-9f25-a152-0438bfc4728e,55eba37f-ac82-af7e-a3c5-506a7d963bc7,"https://images.skechers.com/image;width=400,format=auto/150420_LAV_HERO_LG",0
c62360b6-17d4-75ba-72ef-05c8e67d7f58,5ab8ad1a-4f25-afc0-ad60-b481c2e2d526,"https://images.skechers.com/image;width=400,format=auto/150519_SLTP_HERO_LG",0
f14cdec7-24c1-87e8-e2cf-fad2e90ff733,8fe029d3-48d4-761e-4bb8-3fe259152423,"https://images.skechers.com/image;width=400,format=auto/150510_LTPK_HERO_LG",0
dc7341f4-7a60-7b1b-aecd-895350751433,933ac6bc-60fe-8aef-6104-8c90fee5957b,"https://images.skechers.com/image;width=400,format=auto/150730_LVMT_HERO_LG",0
2af7569b-f0ee-af64-268d-17396d4f629a,6905c646-0b75-c03f-127a-edbb230f6d3a,"https://images.skechers.com/image;width=400,format=auto/150732_BKRG_HERO_LG",0
38307a84-2f26-7242-7943-14cb712d211d,6ef02c94-5747-2cbe-549c-d4f113a0d140,"https://images.skechers.com/image;width=400,format=auto/188055_ROS_HERO_LG",0
115794b6-b642-d8d8-7ba4-de5167c8e408,3919abe2-f889-de14-222e-d3efd9730759,"https://images.skechers.com/image;width=400,format=auto/150760_NVMT_HERO_LG",0
27416f92-c878-4059-f6f9-e2f932332fa6,a9fd00b7-15ba-8aed-6507-ef830f82688c,"https://images.skechers.com/image;width=400,format=auto/150671_PKMT_HERO_LG",0
0fc06730-c283-2475-2fd0-0f3ca7d35463,9ed1ff97-ab17-e6ef-3797-e9d34fff7b06,"https://images.skechers.com/image;width=400,format=auto/104801_LTBL_HERO_LG",0
